BairroId;CidadeId;Nome;NomeAbreviado;NomeFonetizado
B7F1FB03-DAE1-4516-91D4-0079A56312C9;75F07BED-55C7-4E99-AEE5-35ADBE1A330D;Hiterland;NULL;ITERA
CC7EDA2B-AF3F-4AB2-9233-0079DFDB4CFD;369AA753-605C-4E04-B754-08718417CCA5;Jardim Saúde;NULL;JARDIM SAUDE
018AFC2F-62EF-4CF8-893C-007A1808DD85;6788567C-CE7D-4ECD-BEEA-5F819D3EECD8;Centro;NULL;SMTO
1569EB71-29A7-450A-B83A-008014F98687;089EC389-3654-4A15-B1FF-0621D486420F;Linha Rosa;NULL;RIMA ROSA
BC1B95B4-511C-4E8F-8EC1-0080B8CCE0F8;7961A397-9293-49B8-B7F5-0E86B23284B8;Calafate;NULL;KRAFATE
9CA179A1-2FC5-4B2F-B008-00815061B693;62641365-C2B1-40B2-AB58-431A76C978E0;Jardim Camargo;NULL;JARDIM KMAGO
A91C57BF-0A86-4222-8F07-0082C3033C0E;3132C1CE-F05D-481B-BCF7-8977B7767BF3;Buritis;NULL;BURITI
5B20B416-DA84-41F7-8EBC-0085543384EF;75142C13-2BA8-4FB6-AD5F-B2E04F0008CA;Residencial Alice Barbosa;NULL;RESIDEMSAR ARIS BARBOSA
5571BDE9-85A8-4A8B-BD27-0087CEFB0125;3BBF7A94-DA77-44E3-AD4F-AAC203AD05EE;Centro;NULL;SMTO
D8058446-F2A1-4E55-9257-008C82636DDC;FE6A0D9E-2D74-4605-BB5B-7975E60E2A17;Santa Fé (Justinópolis);NULL;SAMTA FE (JUTIMOPORIS)
5DEB2C67-298D-4BCA-AF91-008ED9405E12;2C1189C7-3553-42B8-ADF2-665059C70F3E;Vila Charlote;NULL;VIRA SAROTE
F5E9A6BE-9179-4BF9-B0B3-00912A3C29AB;78DE931E-E102-4FDE-AF7B-4477DA585633;Centro;NULL;SMTO
D6A2D7CC-EA7B-4AEF-BFC0-0091C0E55DAD;CDBC9323-2341-41E1-9AD4-968A3ADCF65D;Vila Jesus Silva;NULL;VIRA JESUS SIRVA
21C40CC9-AA1D-46C8-AF9C-0092EBE7C3B1;DE773446-3C12-4444-A331-052873E6097B;Centro;NULL;SMTO
E9964E1B-8C55-4745-A5E8-0093D22A25E7;58A0422F-20F6-451B-A1C6-48C9A502BC43;Cem Braças;NULL;SM BASA
44569F22-1A15-4DB2-9BBC-00954CD0CFB4;D466AE98-EA6F-4CCF-BA20-AB3F23947604;Centro;NULL;SMTO
FFE24FC7-952B-4DD0-8FDD-0095FCC34C7B;160DD944-E0EA-414F-B5E1-27A44985DB34;Jardim Iracema Namam;NULL;JARDIM IRASMA MAMA
8D42FE6E-D4A2-4C16-813F-00978E171411;8AC34E5E-B9D7-4084-8B12-B36C94479C3E;Recanto da Terra;NULL;REKMTO DA TERA
C3E774F9-AC58-4AA7-9468-00985ABB5588;B5D70598-A1F5-4847-928C-286C8DDF6FE4;Centro;NULL;SMTO
AB2E99C8-6160-416D-A5BD-00989B82C838;6EB53142-AF91-447F-B803-BD671DEE4013;Los Angeles;NULL;ROS AJRE
7C9B9A93-BEB0-421E-9BD1-009BECF58C7F;F7AA196C-14CE-4535-9F9C-753D2C46BA38;São Roque Novo;NULL;SAO ROKUE MOVO
39327244-90CE-4918-8DC9-009CD67993CB;A22DBA0B-C47B-42D0-9F9C-7C43D0105A9A;Residencial Eldorado;NULL;RESIDEMSAR ERDORADO
